,location_name,latitude,longitude
107,flagstaff,35.1872,-111.6194
108,kearney,40.02804999999999,-96.7216
109,chattanooga,34.7449,-91.95105
110,ocean city,38.79600000000001,-90.110625
111,alexandria,39.16415,-87.85405000000002
112,madison,38.4785380952381,-88.18704285714286
113,grand rapids,43.86923333333333,-87.68563333333333
114,independence,39.48892142857143,-95.33129285714288
115,brookings,43.18595,-110.54305
116,macon,36.36442000000001,-86.36106
117,albion,41.27694545454545,-96.13300909090913
118,phoenix,40.172625,-99.707875
119,canton,38.28176666666667,-89.79564166666665
120,moscow,40.06147142857143,-91.06355714285714
121,roxbury,38.5511,-97.4274
122,rangely,40.0861,-108.7795
123,chicago,41.8375,-87.6866
124,youngstown,40.569,-89.69367500000001
125,crawfordsville,40.209875,-97.9058
126,vancouver,45.6366,-122.5967
127,huntington beach,33.696,-118.0018
128,san francisco,37.7558,-122.4449
129,holly ridge,34.4953,-77.527
130,tupelo,34.75406666666667,-92.1275
131,edinburgh,39.3509,-85.9625
132,rock hill,36.6531,-84.637775
133,vail,38.60525,-97.61735
134,grove city,38.269450000000006,-85.04145
135,juneau,50.92995,-111.439
136,coulterville,37.94865,-104.9006
137,warner robins,32.5961,-83.6527
138,princeville,33.013,-108.91806666666668
139,west yellowstone,44.6627,-111.1057
140,grenada,37.7111,-106.1695
141,alice,37.2578,-97.81075
142,jonesboro,35.90156,-88.52814
143,little river,37.18236666666667,-100.14533333333334
144,newton,36.86076363636364,-88.23357272727273
145,honolulu,21.3294,-157.846
146,culver city,34.0058,-118.3968
147,missouri valley,41.5592,-95.9028
148,felton,40.74595,-92.68105
149,milwaukee,39.73445,-82.59905
150,sheboygan,43.7403,-87.7316
151,garden city,39.17062142857143,-94.14122857142856
152,sierra vista,31.563,-110.3153
153,north platte,41.1263,-100.7641
154,el paso,35.90113333333333,-95.84316666666666
155,altus,35.05165,-96.53525
156,opelika,32.6612,-85.3769
157,albany,38.77608,-94.44388000000002
158,dallas,39.24078333333333,-96.23933333333332
159,willows,39.5149,-122.1995
160,salinas,27.33305,-93.96395
161,harrisburg,39.79814,-91.72531
162,sanibel,26.4534,-82.1023
163,oklahoma city,35.4676,-97.5136
164,benzonia,44.6161,-86.0989
165,gillette,42.48365,-89.98055
166,owensboro,37.7575,-87.1172
167,garland,37.7285125,-96.364825
168,davis,38.77,-93.53811666666668
169,miles city,46.4059,-105.8385
170,castle rock,42.82355,-113.87925
171,pomona,38.03886,-90.74668
172,carlsbad,32.37893333333333,-107.3876
173,vienna,38.06457777777778,-84.92032222222221
174,frisco,37.207475,-89.69572500000001
175,richmond,38.9054,-92.56254615384616
176,muskogee,35.7432,-95.3567
177,cheboygan,45.641,-84.4687
178,kenai,60.5619,-151.1985
179,rosemead,34.0689,-118.0823
180,vista,35.58935,-105.45115
181,phenix city,32.4585,-85.0253
182,cartersville,34.1644,-84.8009
183,wrightsville beach,34.213,-77.798
184,fort lauderdale,26.1412,-80.1464
185,chambersburg,39.9315,-77.6556
186,lone tree,40.5084,-98.1488
187,buffalo,40.09655625,-91.42355625
188,pompano beach,26.2428,-80.1312
189,destin,30.395,-86.4701
190,springerville,34.156,-109.2988
191,van buren,38.552725,-88.62935
192,medford,41.94851666666667,-91.37953333333331
193,lincoln city,44.9751,-124.0072
194,wimberley,29.9848,-98.0906
195,orange,35.904075000000006,-92.79242499999998
196,hollywood,32.388075,-84.13245
197,shell,44.5346,-107.7844
198,philadelphia,37.0754,-85.09875
199,grand island,40.9218,-98.3586
200,oceanside,39.7708,-104.96856666666667
201,la crosse,38.0429,-87.57971999999998
202,grayland,46.8304,-124.0898
203,marshfield,40.7521,-90.1786
204,douglas,38.3930125,-95.73475
205,kissimmee,28.3041,-81.4169
206,west valley city,40.6886,-112.0123
